Year,Team_x,Season or Playoff,Rank,Player,Age,Games,Games Started,Minutes Played,Field Goal,Field Goal Attempts,Field Goal %,3 Point Field Goals,3 Point Field Goals Attempts,3 Point Field Goals %,2 Point Field Goals,2 Point Field Goals Attempts,2 Point Field Goals %,Free Throws,Free Throw Attempts,Free Throw Attempts %,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points,Round,Pick,Team_y,Prior Team,College
2022,Connecticut Sun,Playoffs,9,Nia Clouden,22,7,0,32.0,4.0,9.0,0.444,1.0,2.0,0.5,3.0,7.0,0.429,4.0,4.0,1.0,0.0,2.0,2.0,5.0,2.0,0.0,1.0,4.0,13.0,1.0,12.0,Connecticut Sun,Michigan State,Michigan State
2022,Connecticut Sun,Playoffs,10,Joyner Holmes,24,7,0,29.0,2.0,4.0,0.5,0.0,1.0,0.0,2.0,3.0,0.667,2.0,2.0,1.0,1.0,8.0,9.0,5.0,1.0,0.0,1.0,0.0,6.0,,,,,
2022,Seattle Storm,Regular Season,1,Jewell Loyd,28,36,36,1090.0,201.0,508.0,0.396,84.0,218.0,0.385,117.0,290.0,0.403,100.0,112.0,0.893,20.0,75.0,95.0,121.0,39.0,7.0,78.0,64.0,586.0,,,,,
2022,Seattle Storm,Regular Season,2,Breanna Stewart,27,34,34,1052.0,255.0,540.0,0.472,67.0,177.0,0.379,188.0,363.0,0.518,164.0,196.0,0.837,46.0,211.0,257.0,97.0,54.0,31.0,43.0,72.0,741.0,,,,,
2022,Seattle Storm,Regular Season,3,Gabby Williams,25,36,36,920.0,108.0,243.0,0.444,18.0,70.0,0.257,90.0,173.0,0.52,35.0,45.0,0.778,43.0,136.0,179.0,111.0,53.0,14.0,52.0,59.0,269.0,,,,,
2022,Seattle Storm,Regular Season,4,Sue Bird,41,31,31,818.0,85.0,211.0,0.403,56.0,144.0,0.389,29.0,67.0,0.433,16.0,16.0,1.0,6.0,53.0,59.0,186.0,38.0,4.0,60.0,23.0,242.0,,,,,
2022,Seattle Storm,Regular Season,5,Ezi Magbegor,22,33,23,817.0,133.0,242.0,0.55,10.0,29.0,0.345,123.0,213.0,0.577,39.0,53.0,0.736,53.0,131.0,184.0,45.0,29.0,58.0,45.0,95.0,315.0,,,,,
2022,Seattle Storm,Regular Season,6,Briann January,35,36,5,608.0,46.0,122.0,0.377,23.0,74.0,0.311,23.0,48.0,0.479,19.0,23.0,0.826,7.0,29.0,36.0,85.0,23.0,8.0,53.0,59.0,134.0,,,,,
2022,Seattle Storm,Regular Season,7,Stephanie Talbot,28,34,1,548.0,64.0,138.0,0.464,29.0,73.0,0.397,35.0,65.0,0.538,14.0,24.0,0.583,23.0,84.0,107.0,45.0,24.0,11.0,36.0,44.0,171.0,,,,,
2022,Seattle Storm,Regular Season,8,Tina Charles,33,18,10,453.0,94.0,197.0,0.477,15.0,44.0,0.341,79.0,153.0,0.516,23.0,26.0,0.885,36.0,97.0,133.0,33.0,11.0,11.0,34.0,53.0,226.0,,,,,
2022,Seattle Storm,Regular Season,9,Epiphanny Prince,34,33,0,406.0,44.0,124.0,0.355,21.0,59.0,0.356,23.0,65.0,0.354,21.0,25.0,0.84,6.0,26.0,32.0,58.0,20.0,3.0,15.0,30.0,130.0,,,,,
2022,Seattle Storm,Regular Season,10,Jantel Lavender,33,27,4,329.0,45.0,110.0,0.409,5.0,24.0,0.208,40.0,86.0,0.465,8.0,12.0,0.667,26.0,63.0,89.0,24.0,3.0,4.0,24.0,30.0,103.0,,,,,
2022,Seattle Storm,Regular Season,11,Reshanda Gray,29,11,0,85.0,10.0,20.0,0.5,2.0,3.0,0.667,8.0,17.0,0.471,5.0,6.0,0.833,11.0,13.0,24.0,1.0,2.0,0.0,9.0,19.0,27.0,,,,,
2022,Seattle Storm,Regular Season,12,Mercedes Russell,26,5,0,54.0,4.0,8.0,0.5,0.0,0.0,,4.0,8.0,0.5,2.0,3.0,0.667,2.0,7.0,9.0,1.0,0.0,0.0,7.0,7.0,10.0,,,,,
2022,Seattle Storm,Regular Season,13,Kiana Williams,23,3,0,27.0,2.0,8.0,0.25,1.0,4.0,0.25,1.0,4.0,0.25,0.0,0.0,,0.0,2.0,2.0,5.0,0.0,0.0,2.0,1.0,5.0,,,,,
2022,Seattle Storm,Regular Season,14,Kaela Davis,27,1,0,18.0,4.0,7.0,0.571,2.0,3.0,0.667,2.0,4.0,0.5,1.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,4.0,11.0,,,,,
2022,Seattle Storm,Regular Season,15,Raina Perez,23,1,0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,
2022,Seattle Storm,Playoffs,1,Breanna Stewart,27,6,6,233.0,58.0,113.0,0.513,13.0,25.0,0.52,45.0,88.0,0.511,33.0,37.0,0.892,8.0,49.0,57.0,25.0,6.0,11.0,12.0,15.0,162.0,,,,,
2022,Seattle Storm,Playoffs,2,Jewell Loyd,28,6,6,222.0,37.0,95.0,0.389,15.0,42.0,0.357,22.0,53.0,0.415,26.0,28.0,0.929,2.0,12.0,14.0,15.0,3.0,0.0,6.0,16.0,115.0,,,,,
2022,Seattle Storm,Playoffs,3,Sue Bird,41,6,6,214.0,22.0,51.0,0.431,13.0,30.0,0.433,9.0,21.0,0.429,4.0,4.0,1.0,1.0,12.0,13.0,46.0,5.0,1.0,6.0,6.0,61.0,,,,,
2022,Seattle Storm,Playoffs,4,Tina Charles,33,6,6,157.0,31.0,72.0,0.431,3.0,13.0,0.231,28.0,59.0,0.475,4.0,14.0,0.286,16.0,37.0,53.0,11.0,3.0,3.0,8.0,12.0,69.0,,,,,
2022,Seattle Storm,Playoffs,5,Stephanie Talbot,28,6,2,128.0,13.0,29.0,0.448,8.0,16.0,0.5,5.0,13.0,0.385,3.0,5.0,0.6,4.0,22.0,26.0,10.0,3.0,3.0,6.0,17.0,37.0,,,,,
