Year,Round,Pick,Team,Player,Prior Team,College
2022,3,33,Seattle Storm,Jade Melbourne,Canberra Capitals,N/A
2022,3,34,Indiana Feverfrom Minnesota,Ali Patberg,Indiana,Indiana
2022,3,35,Las Vegas Aces,Faustine Aifuwa,LSU,LSU
2022,3,36,Connecticut Sun,Kiara Smith,Florida,
2021,1,1,Dallas Wingsfrom New York via Seattle,Charli Collier,Texas,Texas
2021,1,2,Dallas Wings,Awak Kuier,Ragusa,N/A
2021,1,3,Atlanta Dream,Aari McDonald,Arizona,Arizona
2021,1,4,Indiana Fever,Kysre Gondrezick,West Virginia,West Virginia
2021,1,5,Dallas Wingsfrom Washington via New York,Chelsea Dungee,Arkansas,Arkansas
2021,1,6,New York Libertyfrom Connecticut via Phoenix,Michaela Onyenwere,UCLA,UCLA
2021,1,7,Los Angeles Sparksfrom Chicago via Dallas,Jasmine Walker,Alabama,Alabama
2021,1,8,Chicago Skyfrom Phoenix via Dallas,Shyla Heal,Townsville Fire,N/A
2021,1,9,Minnesota Lynx,Rennia Davis,Tennessee,Tennessee
2021,1,10,Los Angeles Sparks,Stephanie Watts,North Carolina,North Carolina
2021,1,11,Seattle Storm,Aaliyah Wilson,Texas A&M,Texas A&M
2021,1,12,Las Vegas Aces,Iliana Rupert,Tango Bourges Basket (France),N/A
2021,2,13,Dallas Wingsfrom New York,Dana Evans,Louisville,Louisville
2021,2,14,Las Vegas Acesfrom Indiana,Destiny Slocum,Arkansas,Arkansas
2021,2,15,Atlanta Dream,Raquel Carrera,Valencia,N/A
2021,2,16,Chicago Skyfrom Dallas via 3 trades,Natasha Mack,Oklahoma State,Oklahoma State
2021,2,17,New York Libertyfrom Washington,DiDi Richards,Baylor,Baylor
2021,2,18,Seattle Stormfrom Connecticut,Kiana Williams,Stanford,Stanford
2021,2,19,Indiana Feverfrom Chicago,Unique Thompson,Mississippi,Mississippi
2021,2,20,Connecticut Sunfrom Phoenix,DiJonai Carrington,Baylor,Baylor
2021,2,21,Connecticut Sunfrom Minnesota,Micaela Kelly,Central Michigan,Central Michigan
2021,2,22,Los Angeles Sparks,Arella Guirantes,Rutgers,Rutgers
2021,2,23,Seattle Storm,N'dea Jones,Texas A&M,Texas A&M
2021,2,24,Indiana Feverfrom Las Vegas,Trinity Baptiste,Arizona,Arizona
2021,3,25,New York Liberty,Valerie Higgins,Pacific,Pacific
2021,3,26,Indiana Fever,Chelsey Perry,UT-Martin,UT-Martin
2021,3,27,Atlanta Dream,Lindsey Pulliam,Northwestern,Northwestern
2021,3,28,Los Angeles Sparksfrom Dallas,Ivana Raca,Wake Forest,Wake Forest
2021,3,29,New York Libertyfrom Washington,Marine Fauthoux,Lyon,N/A
2021,3,30,Connecticut Sun,Aleah Goodman,Oregon State,Oregon State
2021,3,31,Indiana Feverfrom Chicago,Florencia Chagas,Empoli,N/A
2021,3,32,Phoenix Mercury,Ciera Johnson,Texas A&M,Texas A&M
2021,3,33,Indiana Feverfrom Minnesota,Maya Caldwell,Georgia,Georgia
2021,3,34,Los Angeles Sparks,Aina Ayuso,Zaragoza,N/A
2021,3,35,Seattle Storm,Natalie Kucowski,Lafayette,Lafayette
2021,3,36,Las Vegas Aces,Kionna Jeter,Towson,
2020,1,1,New York Liberty,Sabrina Ionescu,Oregon,Oregon
2020,1,2,Dallas Wings,Satou Sabally,Oregon,Oregon
2020,1,3,Indiana Fever,Lauren Cox,Baylor,Baylor
2020,1,4,Atlanta Dream,Chennedy Carter,Texas A&M,Texas A&M
2020,1,5,Dallas Wingsfrom Phoenix,Bella Alarie,Princeton,Princeton
2020,1,6,Minnesota Lynx,Mikiah Herbert Harrigan,South Carolina,South Carolina
2020,1,7,Dallas Wingsfrom Seattle via 3 trades,Tyasha Harris,South Carolina,South Carolina
2020,1,8,Chicago Sky,Ruthy Hebard,Oregon,Oregon
2020,1,9,New York Libertyfrom Las Vegas via Dallas,Megan Walker,Connecticut,Connecticut
2020,1,10,Phoenix Mercuryfrom Los Angeles via Connecticut,Jocelyn Willoughby,Virginia,Virginia
2020,1,11,Seattle Stormfrom Connecticut,Kitija Laksa,TTT Riga,South Florida
2020,1,12,New York Libertyfrom Washington,Jazmine Jones,Louisville,Louisville
2020,2,13,New York Libertyfrom Atlanta,Kylee Shook,Louisville,Louisville
2020,2,14,Indiana Feverfrom New York via Minnesota,Kathleen Doyle,Iowa,Iowa
2020,2,15,New York Libertyfrom Dallas,Leaonna Odom,Duke,Duke
2020,2,16,Minnesota Lynxfrom Indiana,Crystal Dangerfield,Connecticut,Connecticut
