Season (Year),Team,Season or Playoff,Rank,Player,Age,Games,Games Started,Minutes Played,Field Goal,Field Goal Attempts,Field Goal %,3 Point Field Goals,3 Point Field Goals Attempts,3 Point Field Goals %,2 Point Field Goals,2 Point Field Goals Attempts,2 Point Field Goals %,Free Throws,Free Throw Attempts,Free Throw Attempts %,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
2020,Los Angeles Sparks,Regular Season,6,Sydney Wiese,25,19,15,363,47,93,0.505,25,53,0.472,22,40,0.55,11,12,0.917,5,28,33,22,11,2,22,17,130
2020,Los Angeles Sparks,Regular Season,7,Te'a Cooper,23,20,3,345,51,113,0.451,11,32,0.344,40,81,0.494,26,34,0.765,2,18,20,40,13,0,29,39,139
2020,Los Angeles Sparks,Regular Season,8,Seimone Augustus,36,21,0,332,54,110,0.491,12,22,0.545,42,88,0.477,4,6,0.667,3,34,37,25,12,2,8,20,124
2020,Los Angeles Sparks,Regular Season,9,Tierra Ruffin-Pratt,29,17,10,251,12,45,0.267,6,13,0.462,6,32,0.188,19,26,0.731,9,27,36,15,11,3,9,28,49
2020,Los Angeles Sparks,Regular Season,10,Kristine Anigwe,23,17,1,197,32,53,0.604,0,0,,32,53,0.604,14,26,0.538,18,27,45,4,11,7,16,33,78
2020,Los Angeles Sparks,Regular Season,11,Marie Gulich,26,12,1,119,13,26,0.5,0,3,0,13,23,0.565,3,3,1,5,13,18,7,4,3,5,23,29
2020,Los Angeles Sparks,Regular Season,12,Reshanda Gray,27,10,0,62,4,11,0.364,0,0,,4,11,0.364,6,7,0.857,6,22,28,3,1,4,10,10,14
2020,Los Angeles Sparks,Playoffs,1,Candace Parker,34,1,1,40,6,13,0.462,1,2,0.5,5,11,0.455,9,10,0.9,1,13,14,5,1,2,1,2,22
2020,Los Angeles Sparks,Playoffs,2,Chelsea Gray,27,1,1,35,2,9,0.222,0,4,0,2,5,0.4,0,0,,0,2,2,0,1,0,3,3,4
2020,Los Angeles Sparks,Playoffs,3,Seimone Augustus,36,1,0,22,3,6,0.5,0,0,,3,6,0.5,4,4,1,2,1,3,1,0,1,1,0,10
2020,Los Angeles Sparks,Playoffs,4,Brittney Sykes,26,1,1,22,3,11,0.273,0,4,0,3,7,0.429,2,2,1,2,3,5,2,0,0,3,6,8
2020,Los Angeles Sparks,Playoffs,5,Te'a Cooper,23,1,0,21,1,4,0.25,1,2,0.5,0,2,0,0,0,,0,0,0,2,1,0,3,0,3
2020,Los Angeles Sparks,Playoffs,6,Kristine Anigwe,23,1,1,18,3,5,0.6,0,0,,3,5,0.6,2,2,1,2,5,7,0,0,1,1,2,8
2020,Los Angeles Sparks,Playoffs,7,Sydney Wiese,25,1,1,18,0,3,0,0,2,0,0,1,0,0,0,,0,0,0,1,0,0,0,0,0
2020,Los Angeles Sparks,Playoffs,8,Tierra Ruffin-Pratt,29,1,0,13,0,4,0,0,2,0,0,2,0,0,0,,0,2,2,3,0,1,1,2,0
2020,Los Angeles Sparks,Playoffs,9,Riquna Williams,30,1,0,10,1,4,0.25,0,2,0,1,2,0.5,0,0,,0,1,1,0,1,0,1,1,2
2020,Los Angeles Sparks,Playoffs,10,Reshanda Gray,27,1,0,1,1,1,1,0,0,,1,1,1,0,0,,0,1,1,0,1,0,0,0,2
2020,Minnesota Lynx,Regular Season,1,Napheesa Collier,23,22,22,752,136,260,0.523,20,49,0.408,116,211,0.55,63,76,0.829,61,138,199,73,40,28,60,60,355
2020,Minnesota Lynx,Regular Season,2,Crystal Dangerfield,22,21,19,629,124,263,0.471,34,102,0.333,90,161,0.559,59,64,0.922,5,36,41,75,18,1,54,31,341
2020,Minnesota Lynx,Regular Season,3,Damiris Dantas,27,22,22,586,102,220,0.464,39,90,0.433,63,130,0.485,40,55,0.727,37,97,134,58,25,5,40,56,283
2020,Minnesota Lynx,Regular Season,4,Bridget Carleton,23,22,15,568,53,102,0.52,21,46,0.457,32,56,0.571,18,28,0.643,22,57,79,54,15,0,27,40,145
2020,Minnesota Lynx,Regular Season,5,Lexie Brown,25,17,13,374,38,111,0.342,14,52,0.269,24,59,0.407,19,24,0.792,3,30,33,41,31,0,24,26,109
2020,Minnesota Lynx,Regular Season,6,Rachel Banham,26,20,1,339,48,104,0.462,25,53,0.472,23,51,0.451,16,20,0.8,2,23,25,47,9,2,20,40,137
2020,Minnesota Lynx,Regular Season,7,Odyssey Sims,27,13,7,240,42,104,0.404,8,24,0.333,34,80,0.425,30,33,0.909,8,18,26,45,7,1,25,22,122
2020,Minnesota Lynx,Regular Season,8,Mikiah Herbert Harrigan,21,21,0,234,30,82,0.366,14,33,0.424,16,49,0.327,5,7,0.714,14,34,48,7,8,9,15,21,79
2020,Minnesota Lynx,Regular Season,9,Shenise Johnson,29,17,4,212,28,82,0.341,6,17,0.353,22,65,0.338,25,28,0.893,10,23,33,21,16,1,20,18,87
2020,Minnesota Lynx,Regular Season,10,Erica McCall,24,19,0,178,16,45,0.356,1,4,0.25,15,41,0.366,18,22,0.818,23,24,47,3,6,7,9,23,51
2020,Minnesota Lynx,Regular Season,11,Sylvia Fowles,34,7,7,168,39,64,0.609,0,0,,39,64,0.609,24,29,0.828,21,47,68,6,6,8,8,18,102
2020,Minnesota Lynx,Regular Season,12,Kayla Alexander,29,16,0,89,16,30,0.533,0,0,,16,30,0.533,5,8,0.625,9,6,15,3,2,3,6,14,37
2020,Minnesota Lynx,Regular Season,13,Karima Christmas-Kelly,30,2,0,25,1,7,0.143,0,3,0,1,4,0.25,7,8,0.875,1,5,6,1,3,1,4,2,9
2020,Minnesota Lynx,Regular Season,14,Megan Huff,24,3,0,5,0,1,0,0,0,,0,1,0,0,0,,2,1,3,1,0,0,0,1,0
2020,Minnesota Lynx,Playoffs,1,Napheesa Collier,23,4,4,137,27,54,0.5,7,13,0.538,20,41,0.488,5,8,0.625,8,28,36,12,2,10,8,12,66
2020,Minnesota Lynx,Playoffs,2,Damiris Dantas,27,4,4,137,24,51,0.471,14,27,0.519,10,24,0.417,10,12,0.833,8,22,30,11,6,0,10,14,72
2020,Minnesota Lynx,Playoffs,3,Crystal Dangerfield,22,4,4,136,18,53,0.34,4,16,0.25,14,37,0.378,7,11,0.636,1,10,11,15,4,0,8,11,47
2020,Minnesota Lynx,Playoffs,4,Odyssey Sims,27,4,4,131,21,51,0.412,3,13,0.231,18,38,0.474,16,16,1,1,12,13,17,7,0,11,9,61
2020,Minnesota Lynx,Playoffs,5,Bridget Carleton,23,4,3,118,9,18,0.5,7,13,0.538,2,5,0.4,0,0,,5,10,15,10,5,0,3,5,25
2020,Minnesota Lynx,Playoffs,6,Rachel Banham,26,4,0,75,9,29,0.31,4,12,0.333,5,17,0.294,1,1,1,1,5,6,7,0,1,5,6,23
2020,Minnesota Lynx,Playoffs,7,Mikiah Herbert Harrigan,21,3,0,29,3,5,0.6,2,4,0.5,1,1,1,1,2,0.5,1,4,5,0,0,1,3,6,9
2020,Minnesota Lynx,Playoffs,8,Sylvia Fowles,34,1,1,18,2,8,0.25,0,0,,2,8,0.25,2,2,1,1,3,4,1,0,0,1,0,6
2020,Minnesota Lynx,Playoffs,9,Erica McCall,24,3,0,16,2,3,0.667,0,0,,2,3,0.667,3,3,1,2,4,6,0,0,1,0,2,7
2020,Minnesota Lynx,Playoffs,10,Shenise Johnson,29,1,0,3,0,1,0,0,0,,0,1,0,0,0,,0,0,0,0,0,0,0,0,0
2020,Chicago Sky,Regular Season,1,Courtney Vandersloot,31,22,22,693,107,218,0.491,30,76,0.395,77,142,0.542,56,63,0.889,11,66,77,220,26,8,54,46,300
2020,Chicago Sky,Regular Season,2,Kahleah Copper,25,22,22,688,132,266,0.496,21,61,0.344,111,205,0.541,42,57,0.737,21,99,120,47,21,5,54,52,327
2020,Chicago Sky,Regular Season,3,Allie Quigley,34,22,22,631,129,288,0.448,46,133,0.346,83,155,0.535,34,37,0.919,6,57,63,52,14,6,28,31,338
2020,Chicago Sky,Regular Season,4,Gabby Williams,23,22,4,546,67,158,0.424,20,70,0.286,47,88,0.534,16,25,0.64,20,68,88,44,29,5,37,32,170
2020,Chicago Sky,Regular Season,5,Cheyenne Parker,27,20,13,497,97,175,0.554,15,32,0.469,82,143,0.573,58,68,0.853,47,81,128,30,26,18,55,63,267
2020,Chicago Sky,Regular Season,6,Azura Stevens,24,13,13,355,59,118,0.5,15,39,0.385,44,79,0.557,17,20,0.85,18,59,77,20,12,24,20,39,150
2020,Chicago Sky,Regular Season,7,Ruthy Hebard,22,22,6,320,58,85,0.682,0,0,,58,85,0.682,9,12,0.75,18,68,86,7,10,8,15,35,125
2020,Chicago Sky,Regular Season,8,Stefanie Dolson,28,15,8,273,34,70,0.486,12,32,0.375,22,38,0.579,14,19,0.737,11,41,52,25,6,13,15,48,94
2020,Chicago Sky,Regular Season,9,Diamond DeShields,25,13,0,224,36,83,0.434,3,18,0.167,33,65,0.508,14,18,0.778,3,20,23,20,12,1,30,27,89
2020,Chicago Sky,Regular Season,10,Sydney Colson,30,17,0,110,10,22,0.455,3,9,0.333,7,13,0.538,7,8,0.875,1,6,7,14,6,0,14,13,30
2020,Chicago Sky,Regular Season,11,Stephanie Mavunga,25,5,0,36,5,11,0.455,0,3,0,5,8,0.625,0,0,,3,10,13,2,1,0,6,8,10
2020,Chicago Sky,Regular Season,12,Alexis Prince,26,2,0,16,3,5,0.6,2,3,0.667,1,2,0.5,0,0,,2,1,3,0,0,1,0,1,8
2020,Chicago Sky,Regular Season,13,Stella Johnson,21,4,0,6,0,1,0,0,0,,0,1,0,0,0,,0,2,2,0,1,0,0,1,0
2020,Chicago Sky,Regular Season,14,Alisia Jenkins,26,2,0,3,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
2020,Chicago Sky,Playoffs,1,Courtney Vandersloot,31,1,1,36,5,10,0.5,2,4,0.5,3,6,0.5,0,0,,1,3,4,6,2,0,2,4,12
2020,Chicago Sky,Playoffs,2,Kahleah Copper,25,1,1,35,7,14,0.5,2,4,0.5,5,10,0.5,1,4,0.25,0,0,0,4,2,0,2,2,17
2020,Chicago Sky,Playoffs,3,Gabby Williams,23,1,0,32,6,14,0.429,2,5,0.4,4,9,0.444,2,2,1,3,2,5,2,2,0,1,3,16
2020,Chicago Sky,Playoffs,4,Allie Quigley,34,1,1,28,7,9,0.778,1,3,0.333,6,6,1,4,4,1,0,0,0,0,0,0,1,1,19
2020,Chicago Sky,Playoffs,5,Cheyenne Parker,27,1,1,25,1,4,0.25,0,1,0,1,3,0.333,6,6,1,1,7,8,3,2,1,3,3,8
2020,Chicago Sky,Playoffs,6,Ruthy Hebard,22,1,1,18,2,4,0.5,0,0,,2,4,0.5,0,0,,0,2,2,0,0,1,2,2,4
2020,Chicago Sky,Playoffs,7,Stefanie Dolson,28,1,0,16,1,4,0.25,0,2,0,1,2,0.5,0,0,,0,2,2,3,0,1,0,2,2
2020,Chicago Sky,Playoffs,8,Alexis Prince,26,1,0,9,1,1,1,1,1,1,0,0,,0,0,,0,0,0,0,0,1,0,1,3
2020,Chicago Sky,Playoffs,9,Stephanie Mavunga,25,1,0,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0
2020,Chicago Sky,Playoffs,10,Sydney Colson,30,1,0,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
2020,Phoenix Mercury,Regular Season,1,Skylar Diggins-Smith,29,22,22,675,127,268,0.474,46,116,0.397,81,152,0.533,90,100,0.9,11,62,73,93,20,11,70,50,390
2020,Phoenix Mercury,Regular Season,2,Brianna Turner,23,22,22,613,66,114,0.579,0,1,0,66,113,0.584,27,42,0.643,57,141,198,39,24,43,31,66,159
2020,Phoenix Mercury,Regular Season,3,Diana Taurasi,38,19,19,533,96,235,0.409,61,167,0.365,35,68,0.515,103,113,0.912,2,77,79,86,19,8,44,52,356
2020,Phoenix Mercury,Regular Season,4,Kia Vaughn,33,22,10,415,62,127,0.488,0,2,0,62,125,0.496,11,19,0.579,24,56,80,34,11,7,34,39,135
2020,Phoenix Mercury,Regular Season,5,Shatori Walker-Kimbrough,25,21,10,400,54,126,0.429,22,51,0.431,32,75,0.427,23,25,0.92,6,28,34,32,23,8,21,24,153
2020,Phoenix Mercury,Regular Season,6,Sophie Cunningham,23,21,11,396,35,91,0.385,12,51,0.235,23,40,0.575,22,25,0.88,9,13,22,16,11,3,15,46,104
2020,Phoenix Mercury,Regular Season,7,Brittney Griner,29,12,12,382,87,175,0.497,0,1,0,87,174,0.5,38,47,0.809,18,72,90,36,4,22,30,30,212
2020,Phoenix Mercury,Regular Season,8,Bria Hartley,27,13,3,322,66,157,0.42,25,65,0.385,41,92,0.446,33,41,0.805,5,33,38,58,15,0,27,33,190
2020,Phoenix Mercury,Regular Season,9,Alanna Smith,23,19,0,296,43,102,0.422,10,43,0.233,33,59,0.559,20,29,0.69,21,48,69,23,5,15,18,47,116
2020,Phoenix Mercury,Regular Season,10,Nia Coffey,25,15,1,230,16,38,0.421,7,21,0.333,9,17,0.529,1,6,0.167,5,32,37,12,5,5,7,30,40
2020,Phoenix Mercury,Regular Season,11,Shey Peddy,31,8,0,141,10,34,0.294,2,19,0.105,8,15,0.533,10,10,1,7,17,24,19,12,1,7,14,32
2020,Phoenix Mercury,Regular Season,12,Alisia Jenkins,26,2,0,23,2,8,0.25,0,3,0,2,5,0.4,4,6,0.667,0,3,3,0,0,0,3,3,8
2020,Phoenix Mercury,Playoffs,1,Brianna Turner,23,2,2,79,8,10,0.8,0,0,,8,10,0.8,1,4,0.25,4,21,25,8,2,4,5,4,17
2020,Phoenix Mercury,Playoffs,2,Skylar Diggins-Smith,29,2,2,73,10,33,0.303,3,13,0.231,7,20,0.35,9,10,0.9,1,9,10,11,1,0,7,6,32
2020,Phoenix Mercury,Playoffs,3,Diana Taurasi,38,2,2,70,16,34,0.471,10,21,0.476,6,13,0.462,9,9,1,1,7,8,15,1,0,4,6,51
2020,Phoenix Mercury,Playoffs,4,Kia Vaughn,33,2,2,63,11,23,0.478,0,1,0,11,22,0.5,0,0,,3,9,12,1,0,0,2,6,22
2020,Phoenix Mercury,Playoffs,5,Shey Peddy,31,2,1,42,5,11,0.455,3,8,0.375,2,3,0.667,2,2,1,2,4,6,3,6,1,1,6,15
2020,Phoenix Mercury,Playoffs,6,Shatori Walker-Kimbrough,25,2,1,38,5,10,0.5,4,6,0.667,1,4,0.25,3,6,0.5,1,2,3,3,0,1,2,2,17
2020,Phoenix Mercury,Playoffs,7,Sophie Cunningham,23,2,0,19,2,4,0.5,1,3,0.333,1,1,1,0,0,,0,2,2,0,0,0,3,2,5
2020,Phoenix Mercury,Playoffs,8,Alanna Smith,23,2,0,16,1,4,0.25,1,2,0.5,0,2,0,2,2,1,0,2,2,0,1,1,2,3,5
2020,Indiana Fever,Regular Season,1,Julie Allemand,23,22,22,716,61,134,0.455,44,92,0.478,17,42,0.405,22,30,0.733,8,92,100,128,25,9,57,57,188
2020,Indiana Fever,Regular Season,2,Kelsey Mitchell,24,22,22,706,138,308,0.448,56,144,0.389,82,164,0.5,62,73,0.849,6,42,48,62,14,2,54,62,394
2020,Indiana Fever,Regular Season,3,Candice Dupree,35,22,22,665,116,251,0.462,3,18,0.167,113,233,0.485,41,48,0.854,27,98,125,55,16,9,28,27,276
2020,Indiana Fever,Regular Season,4,Tiffany Mitchell,25,19,11,502,74,214,0.346,17,73,0.233,57,141,0.404,77,81,0.951,15,50,65,49,12,2,45,49,242
2020,Indiana Fever,Regular Season,5,Teaira McCowan,23,22,10,461,90,168,0.536,0,3,0,90,165,0.545,60,80,0.75,69,92,161,14,7,22,44,58,240
2020,Indiana Fever,Regular Season,6,Kennedy Burke,23,22,11,403,57,127,0.449,15,48,0.313,42,79,0.532,30,42,0.714,19,20,39,25,14,8,27,24,159
2020,Indiana Fever,Regular Season,7,Natalie Achonwa,27,18,11,364,57,115,0.496,0,10,0,57,105,0.543,26,32,0.813,26,73,99,31,9,11,33,46,140
2020,Indiana Fever,Regular Season,8,Lauren Cox,22,14,1,183,18,43,0.419,3,6,0.5,15,37,0.405,11,15,0.733,10,36,46,19,6,4,11,20,50
2020,Indiana Fever,Regular Season,9,Kathleen Doyle,22,18,0,155,10,41,0.244,5,21,0.238,5,20,0.25,2,4,0.5,3,12,15,19,7,0,18,26,27
2020,Indiana Fever,Regular Season,10,Kamiah Smalls,22,7,0,100,9,20,0.45,7,12,0.583,2,8,0.25,2,2,1,5,3,8,14,1,1,2,3,27
2020,Indiana Fever,Regular Season,11,Victoria Vivians,25,6,0,85,10,29,0.345,2,11,0.182,8,18,0.444,7,8,0.875,2,12,14,3,1,0,6,15,29
2020,Indiana Fever,Regular Season,12,Stephanie Mavunga,25,5,0,59,8,18,0.444,0,2,0,8,16,0.5,9,11,0.818,7,13,20,3,0,2,5,3,25
2020,Indiana Fever,Regular Season,13,Alisia Jenkins,26,1,0,2,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
2020,Connecticut Sun,Regular Season,1,DeWanna Bonner,32,22,22,732,148,351,0.422,27,107,0.252,121,244,0.496,111,124,0.895,34,138,172,65,37,12,52,47,434
2020,Connecticut Sun,Regular Season,2,Alyssa Thomas,28,21,21,689,122,244,0.5,0,1,0,122,243,0.502,81,118,0.686,39,151,190,101,42,6,52,59,325
2020,Connecticut Sun,Regular Season,3,Brionna Jones,24,21,21,549,98,162,0.605,1,1,1,97,161,0.602,38,55,0.691,59,59,118,21,35,14,34,65,235
2020,Connecticut Sun,Regular Season,4,Jasmine Thomas,30,19,19,485,76,188,0.404,21,63,0.333,55,125,0.44,21,23,0.913,4,29,33,76,24,5,46,30,194
2020,Connecticut Sun,Regular Season,5,Natisha Hiedeman,23,22,4,408,45,127,0.354,23,64,0.359,22,63,0.349,21,30,0.7,8,34,42,41,8,0,24,43,134
2020,Connecticut Sun,Regular Season,6,Kaila Charles,22,21,7,376,40,97,0.412,11,30,0.367,29,67,0.433,22,31,0.71,23,31,54,19,16,7,19,45,113
2020,Connecticut Sun,Regular Season,7,Briann January,33,13,10,303,22,75,0.293,11,31,0.355,11,44,0.25,10,12,0.833,4,12,16,44,8,2,15,25,65
2020,Connecticut Sun,Regular Season,8,Bria Holmes,26,18,4,291,35,98,0.357,10,30,0.333,25,68,0.368,8,12,0.667,13,20,33,20,13,5,18,17,88
2020,Connecticut Sun,Regular Season,9,Beatrice Mompremier,23,21,0,187,20,47,0.426,0,0,,20,47,0.426,8,18,0.444,32,38,70,3,5,13,14,28,48
2020,Connecticut Sun,Regular Season,10,Kaleena Mosqueda-Lewis,26,16,0,164,19,64,0.297,12,47,0.255,7,17,0.412,4,7,0.571,1,20,21,4,3,1,7,17,54
2020,Connecticut Sun,Regular Season,11,Essence Carson,33,11,2,123,13,40,0.325,6,21,0.286,7,19,0.368,3,4,0.75,1,16,17,7,4,1,6,12,35
2020,Connecticut Sun,Regular Season,12,Theresa Plaisance,28,13,0,90,11,29,0.379,5,17,0.294,6,12,0.5,5,6,0.833,2,11,13,1,5,3,2,20,32
2020,Connecticut Sun,Regular Season,13,Jacki Gemelos,31,6,0,29,4,8,0.5,3,6,0.5,1,2,0.5,0,0,,0,2,2,1,2,0,3,5,11
2020,Connecticut Sun,Playoffs,1,DeWanna Bonner,32,7,7,245,33,99,0.333,10,35,0.286,23,64,0.359,32,32,1,8,65,73,27,13,8,16,18,108
2020,Connecticut Sun,Playoffs,2,Briann January,33,7,7,228,25,72,0.347,10,29,0.345,15,43,0.349,3,3,1,2,11,13,25,6,0,6,15,63
2020,Connecticut Sun,Playoffs,3,Alyssa Thomas,28,7,7,227,51,99,0.515,0,0,,51,99,0.515,23,30,0.767,21,36,57,28,12,3,15,22,125
2020,Connecticut Sun,Playoffs,4,Jasmine Thomas,30,7,7,224,41,91,0.451,13,40,0.325,28,51,0.549,8,10,0.8,1,14,15,31,8,1,13,12,103
2020,Connecticut Sun,Playoffs,5,Brionna Jones,24,7,7,198,29,64,0.453,0,0,,29,64,0.453,8,9,0.889,25,26,51,10,11,2,10,22,66
2020,Connecticut Sun,Playoffs,6,Beatrice Mompremier,23,7,0,86,5,15,0.333,0,0,,5,15,0.333,2,5,0.4,6,19,25,1,4,6,3,17,12
2020,Connecticut Sun,Playoffs,7,Kaila Charles,22,7,0,82,9,24,0.375,2,11,0.182,7,13,0.538,8,8,1,5,7,12,3,1,1,9,7,28
2020,Connecticut Sun,Playoffs,8,Natisha Hiedeman,23,7,0,54,7,13,0.538,5,8,0.625,2,5,0.4,5,6,0.833,0,5,5,9,2,1,4,4,24
2020,Connecticut Sun,Playoffs,9,Essence Carson,33,5,0,39,6,13,0.462,1,5,0.2,5,8,0.625,0,0,,0,2,2,0,1,2,2,2,13
2020,Connecticut Sun,Playoffs,10,Theresa Plaisance,28,3,0,12,0,2,0,0,1,0,0,1,0,0,0,,0,2,2,1,0,1,2,2,0
2020,Connecticut Sun,Playoffs,11,Kaleena Mosqueda-Lewis,26,2,0,5,1,2,0.5,0,1,0,1,1,1,0,0,,0,0,0,1,0,0,0,0,2
2020,Dallas Wings,Regular Season,1,Arike Ogunbowale,23,22,22,748,173,419,0.413,48,143,0.336,125,276,0.453,107,125,0.856,10,51,61,76,35,0,47,54,501
2020,Dallas Wings,Regular Season,2,Kayla Thornton,27,22,14,557,54,126,0.429,25,72,0.347,29,54,0.537,28,32,0.875,32,81,113,17,19,4,25,65,161
2020,Dallas Wings,Regular Season,3,Allisha Gray,25,20,14,524,91,196,0.464,25,71,0.352,66,125,0.528,54,65,0.831,27,57,84,26,22,6,22,38,261
2020,Dallas Wings,Regular Season,4,Satou Sabally,22,16,14,450,67,182,0.368,13,66,0.197,54,116,0.466,75,86,0.872,41,83,124,40,14,14,35,50,222
2020,Dallas Wings,Regular Season,5,Katie Lou Samuelson,23,22,4,439,40,96,0.417,19,60,0.317,21,36,0.583,11,15,0.733,8,45,53,30,15,9,12,32,110
2020,Dallas Wings,Regular Season,6,Tyasha Harris,22,21,3,412,55,127,0.433,19,56,0.339,36,71,0.507,14,22,0.636,0,26,26,56,18,3,18,36,143
2020,Dallas Wings,Regular Season,7,Marina Mabrey,23,19,12,405,68,158,0.43,38,91,0.418,30,67,0.448,16,24,0.667,11,48,59,43,25,2,30,36,190
2020,Dallas Wings,Regular Season,8,Bella Alarie,22,22,3,309,24,66,0.364,1,13,0.077,23,53,0.434,10,12,0.833,23,40,63,11,14,18,11,35,59
2020,Dallas Wings,Regular Season,9,Isabelle Harrison,26,13,11,258,34,76,0.447,0,3,0,34,73,0.466,15,19,0.789,19,41,60,19,9,5,18,32,83
2020,Dallas Wings,Regular Season,10,Astou Ndour-Fall,25,13,7,151,20,57,0.351,6,25,0.24,14,32,0.438,0,0,,13,25,38,6,3,6,6,29,46
2020,Dallas Wings,Regular Season,11,Moriah Jefferson,26,9,6,148,18,44,0.409,2,6,0.333,16,38,0.421,7,12,0.583,8,20,28,18,7,2,15,17,45
2020,Dallas Wings,Regular Season,12,Megan Gustafson,23,10,0,48,4,14,0.286,0,1,0,4,13,0.308,6,9,0.667,6,5,11,1,0,1,2,9,14
2020,Washington Mystics,Regular Season,1,Ariel Atkins,23,22,22,682,110,251,0.438,44,107,0.411,66,144,0.458,62,70,0.886,18,46,64,53,40,4,42,58,326
2020,Washington Mystics,Regular Season,2,Leilani Mitchell,35,22,22,673,73,179,0.408,29,95,0.305,44,84,0.524,34,39,0.872,11,51,62,119,18,1,38,46,209
2020,Washington Mystics,Regular Season,3,Myisha Hines-Allen,24,22,22,659,150,294,0.51,26,61,0.426,124,233,0.532,48,58,0.828,35,160,195,57,31,5,48,63,374
2020,Washington Mystics,Regular Season,4,Emma Meesseman,27,20,20,634,109,240,0.454,13,45,0.289,96,195,0.492,29,35,0.829,33,73,106,90,24,16,40,35,260
2020,Washington Mystics,Regular Season,5,Kiara Leslie,24,19,10,414,38,108,0.352,17,47,0.362,21,61,0.344,12,13,0.923,15,42,57,20,9,7,18,27,105
2020,Washington Mystics,Regular Season,6,Tianna Hawkins,29,17,5,329,53,130,0.408,17,57,0.298,36,73,0.493,22,26,0.846,12,48,60,17,14,6,20,44,145
2020,Washington Mystics,Regular Season,7,Alaina Coates,25,20,0,197,18,34,0.529,0,0,,18,34,0.529,14,26,0.538,20,35,55,9,7,4,12,33,50
2020,Washington Mystics,Regular Season,8,Jacki Gemelos,31,12,1,193,15,48,0.313,6,29,0.207,9,19,0.474,2,4,0.5,3,14,17,14,4,1,9,13,38
2020,Washington Mystics,Regular Season,9,Aerial Powers,26,6,6,179,32,69,0.464,9,26,0.346,23,43,0.535,25,30,0.833,2,27,29,15,9,0,11,16,98
2020,Washington Mystics,Regular Season,10,Essence Carson,33,10,0,168,17,59,0.288,6,23,0.261,11,36,0.306,3,6,0.5,6,12,18,5,5,1,10,9,43
2020,Washington Mystics,Regular Season,11,Shey Peddy,31,9,0,116,9,29,0.31,2,15,0.133,7,14,0.5,12,12,1,2,9,11,11,7,0,8,8,32
2020,Washington Mystics,Regular Season,12,Sug Sutton,21,12,0,113,12,33,0.364,5,17,0.294,7,16,0.438,5,7,0.714,0,8,8,12,1,0,6,11,34
2020,Washington Mystics,Regular Season,13,Stella Johnson,21,5,2,94,16,33,0.485,9,14,0.643,7,19,0.368,5,5,1,4,6,10,12,5,2,4,10,46
2020,Washington Mystics,Playoffs,1,Ariel Atkins,23,1,1,36,6,16,0.375,0,3,0,6,13,0.462,1,1,1,2,2,4,4,2,0,0,1,13
2020,Washington Mystics,Playoffs,2,Leilani Mitchell,35,1,1,36,8,15,0.533,5,7,0.714,3,8,0.375,4,5,0.8,0,2,2,4,0,0,3,2,25
2020,Washington Mystics,Playoffs,3,Emma Meesseman,27,1,1,35,8,15,0.533,2,2,1,6,13,0.462,0,0,,2,1,3,4,2,1,0,1,18
2020,Washington Mystics,Playoffs,4,Kiara Leslie,24,1,1,33,3,9,0.333,0,3,0,3,6,0.5,1,1,1,1,5,6,4,1,2,1,4,7
2020,Washington Mystics,Playoffs,5,Myisha Hines-Allen,24,1,1,27,4,6,0.667,1,1,1,3,5,0.6,2,2,1,0,9,9,1,0,2,3,4,11
2020,Washington Mystics,Playoffs,6,Tianna Hawkins,29,1,0,15,1,7,0.143,0,1,0,1,6,0.167,3,4,0.75,2,3,5,0,0,0,2,4,5
2020,Washington Mystics,Playoffs,7,Jacki Gemelos,31,1,0,11,1,3,0.333,1,1,1,0,2,0,0,0,,1,2,3,2,0,0,0,0,3
2020,Washington Mystics,Playoffs,8,Alaina Coates,25,1,0,4,0,1,0,0,0,,0,1,0,0,0,,1,0,1,0,0,0,0,1,0
2020,Washington Mystics,Playoffs,9,Sug Sutton,21,1,0,4,1,2,0.5,0,0,,1,2,0.5,0,0,,0,1,1,0,0,0,0,0,2
2020,Atlanta Dream,Regular Season,1,Betnijah Laney,26,22,22,738,143,297,0.481,30,74,0.405,113,223,0.507,62,75,0.827,24,83,107,87,35,2,66,56,378
2020,Atlanta Dream,Regular Season,2,Elizabeth Williams,27,22,22,647,87,178,0.489,0,0,,87,178,0.489,49,66,0.742,49,76,125,31,17,30,25,57,223
2020,Atlanta Dream,Regular Season,3,Courtney Williams,26,20,14,615,134,307,0.436,8,34,0.235,126,273,0.462,16,23,0.696,37,106,143,63,13,2,54,39,292
2020,Atlanta Dream,Regular Season,4,Monique Billings,24,22,16,596,68,170,0.4,0,0,,68,170,0.4,51,67,0.761,58,129,187,27,24,18,42,62,187
2020,Atlanta Dream,Regular Season,5,Shekinna Stricklen,29,22,15,482,47,138,0.341,33,99,0.333,14,39,0.359,8,8,1,4,38,42,14,7,1,15,43,135
