Season (Year),Team,Season or Playoff,Rank,Player,Age,Games,Games Started,Minutes Played,Field Goal,Field Goal Attempts,Field Goal %,3 Point Field Goals,3 Point Field Goals Attempts,3 Point Field Goals %,2 Point Field Goals,2 Point Field Goals Attempts,2 Point Field Goals %,Free Throws,Free Throw Attempts,Free Throw Attempts %,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Steals,Blocks,Turnovers,Personal Fouls,Points
2021,Washington Mystics,Regular Season,14,Stella Johnson,22,6,0,31,3,8,0.375,2,5,0.4,1,3,0.333,4,4,1,3,0,3,2,0,1,5,7,12
2021,Washington Mystics,Regular Season,15,Jillian Alleyne,26,2,0,8,0,2,0,0,0,,0,2,0,0,0,,1,3,4,0,1,0,0,0,0
2021,Atlanta Dream,Regular Season,1,Courtney Williams,27,32,32,1101,228,546,0.418,39,102,0.382,189,444,0.426,34,53,0.642,46,172,218,128,34,16,58,53,529
2021,Atlanta Dream,Regular Season,2,Elizabeth Williams,28,32,32,761,80,155,0.516,0,0,,80,155,0.516,27,53,0.509,63,94,157,38,36,43,25,60,187
2021,Atlanta Dream,Regular Season,3,Odyssey Sims,28,30,21,753,105,284,0.37,16,69,0.232,89,215,0.414,35,48,0.729,15,60,75,108,37,2,49,45,261
2021,Atlanta Dream,Regular Season,4,Monique Billings,25,31,9,740,100,202,0.495,0,2,0,100,200,0.5,52,77,0.675,88,112,200,32,37,32,43,79,252
2021,Atlanta Dream,Regular Season,5,Tiffany Hayes,31,21,19,595,105,240,0.438,34,84,0.405,71,156,0.455,64,75,0.853,14,53,67,63,33,4,31,65,308
2021,Atlanta Dream,Regular Season,6,Aari McDonald,22,30,4,493,56,174,0.322,32,104,0.308,24,70,0.343,45,51,0.882,9,40,49,59,25,5,35,53,189
2021,Atlanta Dream,Regular Season,7,Crystal Bradford,27,24,9,440,82,191,0.429,29,81,0.358,53,110,0.482,18,39,0.462,31,60,91,36,28,9,23,56,211
2021,Atlanta Dream,Regular Season,8,Tianna Hawkins,30,28,8,433,50,126,0.397,16,66,0.242,34,60,0.567,21,23,0.913,14,73,87,17,11,14,32,62,137
2021,Atlanta Dream,Regular Season,9,Chennedy Carter,22,11,11,280,60,132,0.455,1,9,0.111,59,123,0.48,35,40,0.875,5,9,14,36,8,4,23,33,156
2021,Atlanta Dream,Regular Season,10,Cheyenne Parker,28,13,11,270,50,110,0.455,10,30,0.333,40,80,0.5,22,28,0.786,13,45,58,16,15,12,17,28,132
2021,Atlanta Dream,Regular Season,11,Shekinna Stricklen,30,24,0,236,22,85,0.259,14,66,0.212,8,19,0.421,2,5,0.4,2,20,22,8,10,4,3,26,60
2021,Atlanta Dream,Regular Season,12,Candice Dupree,36,10,4,203,33,76,0.434,0,3,0,33,73,0.452,7,11,0.636,7,31,38,6,5,2,9,8,73
2021,Atlanta Dream,Regular Season,13,Blake Dietrick,27,9,0,141,8,27,0.296,5,16,0.313,3,11,0.273,0,0,,3,11,14,11,5,1,5,20,21
2021,Atlanta Dream,Regular Season,14,Kalani Brown,24,1,0,5,1,3,0.333,0,0,,1,3,0.333,0,0,,0,1,1,0,0,0,0,0,2
2021,Indiana Fever,Regular Season,1,Kelsey Mitchell,25,32,32,1059,212,492,0.431,70,209,0.335,142,283,0.502,75,85,0.882,21,63,84,80,34,7,65,74,569
2021,Indiana Fever,Regular Season,2,Teaira McCowan,24,32,23,848,138,257,0.537,0,0,,138,257,0.537,85,132,0.644,109,199,308,34,18,51,53,107,361
2021,Indiana Fever,Regular Season,3,Tiffany Mitchell,26,28,25,765,107,254,0.421,12,47,0.255,95,207,0.459,110,125,0.88,25,55,80,56,17,1,54,53,336
2021,Indiana Fever,Regular Season,4,Victoria Vivians,26,31,8,661,77,231,0.333,32,127,0.252,45,104,0.433,25,30,0.833,14,81,95,40,35,4,41,57,211
2021,Indiana Fever,Regular Season,5,Danielle Robinson,32,24,24,659,88,211,0.417,5,25,0.2,83,186,0.446,56,63,0.889,8,77,85,89,38,2,42,50,237
2021,Indiana Fever,Regular Season,6,Lindsay Allen,26,32,8,571,65,152,0.428,14,47,0.298,51,105,0.486,30,37,0.811,9,39,48,96,17,3,31,34,174
2021,Indiana Fever,Regular Season,7,Jessica Breland,33,26,18,544,67,180,0.372,5,16,0.313,62,164,0.378,13,19,0.684,37,126,163,53,16,39,48,51,152
2021,Indiana Fever,Regular Season,8,Jantel Lavender,32,27,14,539,76,188,0.404,4,20,0.2,72,168,0.429,18,20,0.9,46,59,105,41,0,4,37,48,174
2021,Indiana Fever,Regular Season,9,Emma Cannon,32,12,6,220,35,79,0.443,3,14,0.214,32,65,0.492,10,14,0.714,18,36,54,12,5,2,24,29,83
2021,Indiana Fever,Regular Season,10,Kysre Gondrezick,23,19,0,173,13,46,0.283,8,28,0.286,5,18,0.278,2,4,0.5,3,16,19,18,7,0,17,14,36
2021,Indiana Fever,Regular Season,11,Aaliyah Wilson,22,14,0,119,6,26,0.231,1,7,0.143,5,19,0.263,2,4,0.5,5,7,12,8,3,2,9,17,15
2021,Indiana Fever,Regular Season,12,Bernadett Hatar,26,7,2,106,14,29,0.483,0,0,,14,29,0.483,6,7,0.857,7,11,18,2,3,3,11,18,34
2021,Indiana Fever,Regular Season,13,Lauren Cox,23,11,0,95,6,19,0.316,1,3,0.333,5,16,0.313,2,2,1,5,17,22,3,4,3,7,9,15
2021,Indiana Fever,Regular Season,14,Chelsey Perry,22,6,0,40,5,18,0.278,2,9,0.222,3,9,0.333,1,2,0.5,0,6,6,2,3,0,2,7,13
2020,Seattle Storm,Regular Season,1,Breanna Stewart,25,20,20,30.4,6.7,14.8,0.451,1.8,4.8,0.368,4.9,10,0.49,4.7,5.2,0.894,1,7.3,8.3,3.6,1.7,1.3,2.6,2.3,19.7
